Source,CH1,CH2
Second,Volt,Volt
-0.00007868000,0.00,-0.20000,
-0.00007866000,0.00,-0.20000,
-0.00007864000,0.00,-0.20000,
-0.00007861999,0.00,-0.20000,
-0.00007860000,0.00,-0.20000,
-0.00007858000,0.00,-0.16000,
-0.00007856000,0.00,-0.20000,
-0.00007854000,0.00,-0.20000,
-0.00007852000,0.20000,-0.20000,
-0.00007850000,0.00,-0.20000,
-0.00007848000,0.00,-0.20000,
-0.00007846000,0.00,-0.20000,
-0.00007843999,0.20000,-0.20000,
-0.00007842000,0.20000,-0.20000,
-0.00007840000,0.00,-0.24000,
-0.00007838000,0.20000,-0.24000,
-0.00007836000,0.00,-0.20000,
-0.00007834000,0.20000,-0.20000,
-0.00007832000,0.00,-0.20000,
-0.00007830000,0.00,-0.20000,
-0.00007828000,0.00,-0.16000,
-0.00007825999,0.00,-0.20000,
-0.00007824000,0.00,-0.20000,
-0.00007822000,0.20000,-0.20000,
-0.00007820000,0.00,-0.20000,
-0.00007818000,0.20000,-0.20000,
-0.00007816000,0.00,-0.20000,
-0.00007814000,0.20000,-0.20000,
-0.00007812000,0.00,-0.20000,
-0.00007810000,0.00,-0.20000,
-0.00007807999,0.00,-0.20000,
-0.00007806000,0.20000,-0.20000,
-0.00007804000,0.00,-0.20000,
-0.00007802000,0.20000,-0.16000,
-0.00007800000,0.00,-0.20000,
-0.00007798000,0.00,-0.20000,
-0.00007796000,0.00,-0.20000,
-0.00007794000,0.00,-0.20000,
-0.00007792000,0.00,-0.16000,
-0.00007789999,0.00,-0.20000,
-0.00007788000,0.00,-0.20000,
-0.00007786000,0.00,-0.20000,
-0.00007784000,0.00,-0.16000,
-0.00007782000,0.20000,-0.20000,
-0.00007780000,0.20000,-0.20000,
-0.00007778000,0.00,-0.24000,
-0.00007776000,0.20000,-0.20000,
-0.00007774000,0.00,-0.24000,
-0.00007771999,0.20000,-0.20000,
-0.00007770000,0.00,-0.20000,
-0.00007768000,0.00,-0.20000,
-0.00007766000,0.00,-0.20000,
-0.00007764000,0.20000,-0.20000,
-0.00007762001,0.20000,-0.20000,
-0.00007760000,0.00,-0.20000,
-0.00007758000,0.00,-0.24000,
-0.00007756000,0.00,-0.20000,
-0.00007753999,0.00,-0.20000,
-0.00007752000,0.20000,-0.20000,
-0.00007750000,0.00,-0.20000,
-0.00007748000,0.20000,-0.20000,
-0.00007746000,0.00,-0.20000,
-0.00007743999,0.00,-0.20000,
-0.00007742000,0.00,-0.20000,
-0.00007740000,0.00,-0.20000,
-0.00007738000,0.00,-0.20000,
-0.00007735999,0.20000,-0.20000,
-0.00007734000,0.00,-0.20000,
-0.00007732000,0.00,-0.20000,
-0.00007730000,0.20000,-0.20000,
-0.00007728000,0.20000,-0.20000,
-0.00007725999,0.20000,-0.20000,
-0.00007724000,0.00,-0.20000,
-0.00007722000,0.20000,-0.24000,
-0.00007720000,0.00,-0.20000,
-0.00007718000,0.00,-0.20000,
-0.00007716000,0.20000,-0.20000,
-0.00007714000,0.20000,-0.20000,
-0.00007712000,0.00,-0.20000,
-0.00007710000,0.00,-0.20000,
-0.00007707999,0.00,-0.20000,
-0.00007706000,0.20000,-0.20000,
-0.00007704000,0.00,-0.20000,
-0.00007702000,0.20000,-0.24000,
-0.00007700000,0.00,-0.20000,
-0.00007698000,0.00,-0.20000,
-0.00007696000,0.00,-0.20000,
-0.00007694000,0.00,-0.20000,
-0.00007692000,0.00,-0.24000,
-0.00007689999,0.20000,-0.20000,
-0.00007688000,0.20000,-0.24000,
-0.00007686000,0.00,-0.20000,
-0.00007684000,0.00,-0.20000,
-0.00007682000,0.20000,-0.20000,
-0.00007680000,0.00,-0.20000,
-0.00007678000,0.00,-0.20000,
-0.00007676000,0.00,-0.24000,
-0.00007674000,0.20000,-0.24000,
-0.00007671999,0.20000,-0.20000,
-0.00007670000,0.00,-0.20000,
-0.00007668000,0.00,-0.20000,
-0.00007666000,0.00,-0.20000,
-0.00007664000,0.20000,-0.20000,
-0.00007662000,0.00,-0.20000,
-0.00007660000,0.20000,-0.20000,
-0.00007658000,0.00,-0.20000,
-0.00007656000,0.00,-0.20000,
-0.00007653999,0.00,-0.20000,
-0.00007652000,0.20000,-0.20000,
-0.00007650000,0.00,-0.24000,
-0.00007648000,0.00,-0.20000,
-0.00007646000,0.00,-0.20000,
-0.00007644000,0.00,-0.20000,
-0.00007642000,0.00,-0.20000,
-0.00007640000,0.00,-0.24000,
-0.00007638000,0.20000,-0.20000,
-0.00007635999,0.00,-0.20000,
-0.00007634000,0.20000,-0.24000,
-0.00007632000,0.00,-0.20000,
-0.00007630000,0.00,-0.24000,
-0.00007628000,0.00,-0.24000,
-0.00007626000,0.00,-0.20000,
-0.00007624000,0.00,-0.20000,
-0.00007622000,0.00,-0.20000,
-0.00007620000,0.00,-0.20000,
-0.00007617999,0.00,-0.20000,
-0.00007616000,0.20000,-0.24000,
-0.00007614000,0.20000,-0.20000,
-0.00007612000,0.20000,-0.20000,
-0.00007610000,0.00,-0.24000,
-0.00007608000,0.00,-0.20000,
-0.00007606000,0.00,-0.20000,
-0.00007604000,0.00,-0.20000,
-0.00007602000,0.20000,-0.20000,
-0.00007599999,0.20000,-0.20000,
-0.00007598000,0.00,-0.20000,
-0.00007596000,0.00,-0.20000,
-0.00007594000,0.00,-0.20000,
-0.00007592000,0.20000,-0.20000,
-0.00007590001,0.00,-0.20000,
-0.00007588000,0.00,-0.20000,
-0.00007586000,0.00,-0.20000,
-0.00007584000,0.00,-0.20000,
-0.00007581999,0.20000,-0.24000,
-0.00007580000,0.00,-0.20000,
-0.00007578000,0.20000,-0.24000,
-0.00007576000,0.00,-0.20000,
-0.00007574000,0.20000,-0.16000,
-0.00007571999,0.00,-0.20000,
-0.00007570000,0.00,-0.20000,
-0.00007568000,0.20000,-0.20000,
-0.00007566000,0.00,-0.20000,
-0.00007563999,0.00,-0.20000,
-0.00007562000,0.20000,-0.20000,
-0.00007560000,0.20000,-0.20000,
-0.00007558000,0.00,-0.24000,
-0.00007556000,0.00,-0.20000,
-0.00007553999,0.00,-0.20000,
-0.00007552000,0.20000,-0.20000,
-0.00007550000,0.20000,-0.24000,
-0.00007548000,0.20000,-0.20000,
-0.00007546000,0.20000,-0.16000,
-0.00007544000,0.00,-0.20000,
-0.00007542000,0.00,-0.20000,
-0.00007540000,0.00,-0.20000,
-0.00007538000,0.00,-0.20000,
-0.00007535999,0.20000,-0.16000,
-0.00007534000,0.20000,-0.20000,
-0.00007532000,0.20000,-0.20000,
-0.00007530000,0.00,-0.20000,
-0.00007528000,0.00,-0.20000,
-0.00007526000,0.00,-0.20000,
-0.00007524000,0.00,-0.20000,
-0.00007522000,0.00,-0.20000,
-0.00007520000,0.00,-0.20000,
-0.00007517999,0.00,-0.20000,
-0.00007516000,0.00,-0.24000,
-0.00007514000,0.00,-0.16000,
-0.00007512000,0.00,-0.24000,
-0.00007510000,0.20000,-0.20000,
-0.00007508000,0.00,-0.16000,
-0.00007506000,0.00,-0.20000,
-0.00007504000,0.00,-0.20000,
-0.00007502000,0.00,-0.20000,
-0.00007499999,0.00,-0.20000,
-0.00007498000,0.20000,-0.20000,
-0.00007496000,0.20000,-0.20000,
-0.00007494000,0.00,-0.20000,
-0.00007492000,0.20000,-0.24000,
-0.00007490000,0.00,-0.20000,
-0.00007488000,0.00,-0.20000,
-0.00007486000,0.00,-0.20000,
-0.00007484000,0.00,-0.20000,
-0.00007481999,0.20000,-0.20000,
-0.00007480000,0.00,-0.20000,
-0.00007478000,0.00,-0.20000,
-0.00007476000,0.00,-0.20000,
-0.00007474000,0.00,-0.20000,
-0.00007472000,0.20000,-0.20000,
-0.00007470000,0.00,-0.20000,
-0.00007468000,0.00,-0.20000,
-0.00007466000,0.20000,-0.20000,
-0.00007463999,0.20000,-0.20000,
-0.00007462000,0.20000,-0.20000,
-0.00007460000,0.00,-0.16000,
-0.00007458000,0.20000,-0.20000,
-0.00007456000,0.20000,-0.16000,
-0.00007454000,0.00,-0.20000,
-0.00007452000,0.20000,-0.24000,
-0.00007450000,0.00,-0.20000,
-0.00007448000,0.20000,-0.20000,
-0.00007445999,0.00,-0.16000,
-0.00007444000,0.00,-0.16000,
-0.00007442000,0.20000,-0.20000,
-0.00007440000,0.00,-0.24000,
-0.00007438000,0.20000,-0.20000,
-0.00007436000,0.20000,-0.24000,
-0.00007434000,0.00,-0.20000,
-0.00007432000,0.00,-0.20000,
-0.00007430000,0.00,-0.20000,
-0.00007427999,0.00,-0.24000,
-0.00007426000,0.20000,-0.20000,
-0.00007424000,0.00,-0.20000,
-0.00007422000,0.00,-0.20000,
-0.00007420000,0.00,-0.20000,
-0.00007418001,0.00,-0.20000,
-0.00007416000,0.20000,-0.20000,
-0.00007414000,0.20000,-0.24000,
-0.00007412000,0.00,-0.20000,
-0.00007409999,0.20000,-0.20000,
-0.00007408000,0.00,-0.20000,
-0.00007406000,0.00,-0.16000,
-0.00007404000,0.20000,-0.20000,
-0.00007402000,0.00,-0.20000,
-0.00007399999,0.00,-0.20000,
-0.00007398000,0.00,-0.16000,
-0.00007396000,0.00,-0.16000,
-0.00007394000,0.00,-0.20000,
-0.00007391999,0.00,-0.20000,
-0.00007390000,0.00,-0.20000,
-0.00007388000,0.00,-0.20000,
-0.00007386000,0.00,-0.20000,
-0.00007384000,0.20000,-0.20000,
-0.00007381999,0.20000,-0.20000,
-0.00007380000,0.00,-0.20000,
-0.00007378000,0.00,-0.20000,
-0.00007376000,0.00,-0.20000,
-0.00007374000,0.00,-0.20000,
-0.00007372000,0.00,-0.20000,
-0.00007370000,0.00,-0.20000,
-0.00007368000,0.20000,-0.20000,
-0.00007366000,0.00,-0.20000,
-0.00007363999,0.00,-0.20000,
-0.00007362000,0.20000,-0.20000,
-0.00007360000,0.20000,-0.20000,
-0.00007358000,0.00,-0.20000,
-0.00007356000,0.00,-0.20000,
-0.00007354000,0.20000,-0.20000,
-0.00007352000,0.00,-0.20000,
-0.00007350000,0.00,-0.20000,
-0.00007348000,0.00,-0.20000,
-0.00007345999,0.20000,-0.20000,
-0.00007344000,0.20000,-0.20000,
-0.00007342000,0.20000,-0.20000,
-0.00007340000,0.00,-0.20000,
-0.00007338000,0.00,-0.20000,
-0.00007336000,0.20000,-0.16000,
-0.00007334000,0.20000,-0.16000,
-0.00007332000,0.20000,-0.20000,
-0.00007330000,0.20000,-0.20000,
-0.00007327999,0.20000,-0.20000,
-0.00007326000,0.00,-0.24000,
-0.00007324000,0.00,-0.20000,
-0.00007322000,0.00,-0.16000,
-0.00007320000,0.20000,-0.20000,
-0.00007318000,0.00,-0.20000,
-0.00007316000,0.00,-0.16000,
-0.00007314000,0.00,-0.20000,
-0.00007312000,0.00,-0.20000,
-0.00007309999,0.00,-0.20000,
-0.00007308000,0.00,-0.16000,
-0.00007306000,0.00,-0.20000,
-0.00007304000,0.00,-0.20000,
-0.00007302000,0.00,-0.20000,
-0.00007300000,0.00,-0.20000,
-0.00007298000,0.00,-0.20000,
-0.00007296000,0.00,-0.20000,
-0.00007294000,0.20000,-0.16000,
-0.00007291999,0.00,-0.16000,
-0.00007290000,0.00,-0.24000,
-0.00007288000,0.20000,-0.20000,
-0.00007286000,0.00,-0.20000,
-0.00007284000,0.00,-0.20000,
-0.00007282000,0.00,-0.20000,
-0.00007280000,0.20000,-0.24000,
-0.00007278000,0.00,-0.20000,
-0.00007276000,0.20000,-0.16000,
-0.00007273999,0.00,-0.20000,
-0.00007272000,0.00,-0.16000,
-0.00007270000,0.20000,-0.24000,
-0.00007268000,0.00,-0.20000,
-0.00007266000,0.20000,-0.20000,
-0.00007264000,0.00,-0.20000,
-0.00007262000,0.00,-0.20000,
-0.00007260000,0.00,-0.20000,
-0.00007258000,0.20000,-0.20000,
-0.00007255999,0.20000,-0.20000,
-0.00007254000,0.00,-0.20000,
-0.00007252000,0.00,-0.20000,
-0.00007250000,0.20000,-0.20000,
-0.00007248000,0.00,-0.16000,
-0.00007246001,0.00,-0.20000,
-0.00007244000,0.00,-0.20000,
-0.00007242000,0.20000,-0.20000,
-0.00007240000,0.20000,-0.20000,
